-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2015 through 12/31/2025 in UTC
Location: Latitude  0.1333   Longitude 117.5 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 37.89 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DNI     CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLOUD_AMT             CERES SYN1deg Cloud Amount (%) 
IMERG_PRECTOT         MERRA-2 Total Precipitation (mm/day) 
PS                    MERRA-2 Surface Pressure (kPa) 
PSC                   MERRA-2 Corrected Atmospheric Pressure (Adjusted For Site Elevation) (kPa) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
WSC                   MERRA-2 Corrected Wind Speed (Adjusted For Elevation) (m/s) 
Message(s): 
Corrected Wind Speed has a custom surface implemented: 20-m broadleaf-deciduous trees (75% coverage) (vegtype_2) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DNI,2015,1.854,2.6866,3.7939,3.9761,3.7258,2.4775,4.0258,3.7361,2.329,2.2183,3.3574,3.5009,3.145
ALLSKY_SFC_SW_DNI,2016,3.9948,4.2701,4.0565,4.284,3.3869,2.4298,2.8654,2.9674,2.4418,1.4062,2.267,1.8912,3.0168
ALLSKY_SFC_SW_DNI,2017,2.1782,2.3066,2.3978,2.7122,3.0216,2.3657,2.4852,2.153,2.3402,2.4634,2.3479,2.0186,2.3995
ALLSKY_SFC_SW_DNI,2018,1.6022,2.5884,2.67,2.9659,2.8685,2.8087,2.4886,3.0799,3.287,2.6042,2.6304,2.4917,2.6717
ALLSKY_SFC_SW_DNI,2019,2.3035,4.3061,3.5345,3.1042,3.5786,2.6078,2.7434,3.3634,3.8592,3.2784,3.5918,2.147,3.1915
ALLSKY_SFC_SW_DNI,2020,3.4582,3.9463,3.7303,3.8407,3.3588,2.4038,2.5142,3.276,2.1648,2.1653,2.55,1.937,2.9422
ALLSKY_SFC_SW_DNI,2021,1.5077,2.4374,2.2901,2.3338,2.6525,3.0235,2.4226,2.3849,2.2987,2.7134,2.0208,1.2554,2.2754
ALLSKY_SFC_SW_DNI,2022,2.0086,1.891,2.7252,2.5212,2.6258,3.3156,2.0292,2.5368,2.2841,1.6603,1.9908,1.6195,2.2675
ALLSKY_SFC_SW_DNI,2023,1.4794,1.6162,2.2188,2.7103,2.6386,2.6098,2.6078,3.3746,3.246,3.8633,3.0125,3.0636,2.7103
ALLSKY_SFC_SW_DNI,2024,2.171,3.739,3.4114,4.1758,2.7953,1.746,2.3818,2.016,3.1817,2.9035,2.5536,1.2684,2.6873
